Vardas                   Pavarde                  ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas1                  Pavarde1                 10        9         10        4         7         10        
Vardas2                  Pavarde2                 2         6         9         3         7         10        
Vardas3                  Pavarde3                 5         8         9         8         5         2         
Vardas4                  Pavarde4                 8         1         3         10        10        5         
Vardas5                  Pavarde5                 7         9         1         7         2         10        
Vardas6                  Pavarde6                 1         7         4         2         4         10        
Vardas7                  Pavarde7                 4         1         1         2         6         8         
Vardas8                  Pavarde8                 9         7         10        2         6         9         
Vardas9                  Pavarde9                 4         4         8         4         10        2         
Vardas10                 Pavarde10                3         8         3         3         4         2         
Vardas11                 Pavarde11                8         7         7         9         2         3         
Vardas12                 Pavarde12                3         2         8         2         7         1         
Vardas13                 Pavarde13                4         1         9         7         10        5         
Vardas14                 Pavarde14                4         1         3         1         5         6         
Vardas15                 Pavarde15                3         4         9         7         9         4         
Vardas16                 Pavarde16                1         2         5         3         8         5         
Vardas17                 Pavarde17                6         10        10        4         6         7         
Vardas18                 Pavarde18                8         7         2         5         2         7         
Vardas19                 Pavarde19                2         2         4         3         3         8         
Vardas20                 Pavarde20                2         4         9         8         2         7         
Vardas21                 Pavarde21                4         9         8         10        1         3         
Vardas22                 Pavarde22                7         10        2         8         2         2         
Vardas23                 Pavarde23                9         3         6         5         10        6         
Vardas24                 Pavarde24                1         3         2         6         10        4         
Vardas25                 Pavarde25                9         6         10        3         5         10        
Vardas26                 Pavarde26                9         3         9         10        2         1         
Vardas27                 Pavarde27                5         10        4         4         1         5         
Vardas28                 Pavarde28                5         2         7         4         1         5         
Vardas29                 Pavarde29                2         8         7         8         7         5         
Vardas30                 Pavarde30                6         7         3         1         4         9         
Vardas31                 Pavarde31                1         5         1         8         2         1         
Vardas32                 Pavarde32                2         3         5         8         4         7         
Vardas33                 Pavarde33                4         8         4         4         5         1         
Vardas34                 Pavarde34                9         6         10        6         4         6         
Vardas35                 Pavarde35                10        4         1         2         9         1         
Vardas36                 Pavarde36                9         10        1         8         10        10        
Vardas37                 Pavarde37                8         6         4         8         4         1         
Vardas38                 Pavarde38                7         8         4         10        1         8         
Vardas39                 Pavarde39                3         4         5         6         3         7         
Vardas40                 Pavarde40                10        10        9         3         9         3         
Vardas41                 Pavarde41                8         6         9         2         4         5         
Vardas42                 Pavarde42                7         10        8         10        5         6         
Vardas43                 Pavarde43                7         2         5         2         9         4         
Vardas44                 Pavarde44                7         10        2         4         10        3         
Vardas45                 Pavarde45                7         3         6         6         3         3         
Vardas46                 Pavarde46                6         3         2         7         3         5         
Vardas47                 Pavarde47                3         6         5         9         10        1         
Vardas48                 Pavarde48                6         1         10        3         7         4         
Vardas49                 Pavarde49                7         1         4         9         7         10        
Vardas50                 Pavarde50                5         4         8         8         8         2         
Vardas51                 Pavarde51                9         10        5         4         1         6         
Vardas52                 Pavarde52                3         2         2         8         10        8         
Vardas53                 Pavarde53                2         10        2         10        7         3         
Vardas54                 Pavarde54                6         9         6         6         3         8         
Vardas55                 Pavarde55                9         4         7         1         2         7         
Vardas56                 Pavarde56                1         6         10        4         7         8         
Vardas57                 Pavarde57                8         4         7         9         9         4         
Vardas58                 Pavarde58                2         1         2         6         6         1         
Vardas59                 Pavarde59                5         1         4         6         9         2         
Vardas60                 Pavarde60                3         7         4         10        5         6         
Vardas61                 Pavarde61                4         1         7         4         4         1         
Vardas62                 Pavarde62                2         7         10        3         6         5         
Vardas63                 Pavarde63                1         1         8         4         7         1         
Vardas64                 Pavarde64                1         8         9         3         2         6         
Vardas65                 Pavarde65                2         1         5         3         3         6         
Vardas66                 Pavarde66                8         1         10        6         3         1         
Vardas67                 Pavarde67                4         6         3         2         9         9         
Vardas68                 Pavarde68                4         6         3         8         10        4         
Vardas69                 Pavarde69                4         5         10        8         2         3         
Vardas70                 Pavarde70                1         8         6         9         7         5         
Vardas71                 Pavarde71                9         1         2         4         9         8         
Vardas72                 Pavarde72                7         5         1         7         5         9         
Vardas73                 Pavarde73                5         2         8         3         4         8         
Vardas74                 Pavarde74                3         6         5         2         2         7         
Vardas75                 Pavarde75                5         2         3         9         6         5         
Vardas76                 Pavarde76                5         10        2         8         1         10        
Vardas77                 Pavarde77                8         6         5         9         9         2         
Vardas78                 Pavarde78                7         7         1         5         5         4         
Vardas79                 Pavarde79                6         10        5         7         7         9         
Vardas80                 Pavarde80                1         5         1         5         4         9         
Vardas81                 Pavarde81                2         6         6         2         3         2         
Vardas82                 Pavarde82                1         6         9         8         10        1         
Vardas83                 Pavarde83                3         5         4         2         4         3         
Vardas84                 Pavarde84                2         7         4         2         5         6         
Vardas85                 Pavarde85                2         3         1         6         3         6         
Vardas86                 Pavarde86                7         10        7         3         5         4         
Vardas87                 Pavarde87                6         6         7         4         8         8         
Vardas88                 Pavarde88                3         3         7         7         6         6         
Vardas89                 Pavarde89                2         3         2         4         3         2         
Vardas90                 Pavarde90                3         8         4         7         7         9         
Vardas91                 Pavarde91                2         1         2         4         10        2         
Vardas92                 Pavarde92                4         5         4         10        6         3         
Vardas93                 Pavarde93                5         7         1         5         2         4         
Vardas94                 Pavarde94                4         9         8         8         6         7         
Vardas95                 Pavarde95                8         6         1         1         3         5         
Vardas96                 Pavarde96                5         7         4         5         8         7         
Vardas97                 Pavarde97                5         1         5         5         7         1         
Vardas98                 Pavarde98                4         10        6         7         2         1         
Vardas99                 Pavarde99                10        8         6         7         6         10        
Vardas100                Pavarde100               4         6         10        8         4         7         
Vardas101                Pavarde101               3         4         4         3         9         6         
Vardas102                Pavarde102               9         1         3         2         6         1         
Vardas103                Pavarde103               5         8         9         6         5         5         
Vardas104                Pavarde104               1         4         5         2         9         10        
Vardas105                Pavarde105               10        10        2         3         8         1         
Vardas106                Pavarde106               10        6         6         1         3         6         
Vardas107                Pavarde107               5         10        7         6         4         3         
Vardas108                Pavarde108               1         3         10        2         3         5         
Vardas109                Pavarde109               7         1         5         10        9         7         
Vardas110                Pavarde110               4         3         8         5         3         3         
Vardas111                Pavarde111               9         10        6         10        4         1         
Vardas112                Pavarde112               6         9         8         3         3         10        
Vardas113                Pavarde113               7         8         4         10        9         10        
Vardas114                Pavarde114               4         7         2         2         2         3         
Vardas115                Pavarde115               10        1         2         5         6         4         
Vardas116                Pavarde116               4         4         3         2         2         2         
Vardas117                Pavarde117               4         2         3         6         10        10        
Vardas118                Pavarde118               3         4         8         3         5         6         
Vardas119                Pavarde119               10        5         9         10        10        5         
Vardas120                Pavarde120               7         6         3         4         1         1         
Vardas121                Pavarde121               4         9         4         8         4         2         
Vardas122                Pavarde122               9         6         4         7         4         2         
Vardas123                Pavarde123               2         9         10        3         7         7         
Vardas124                Pavarde124               4         9         9         7         8         6         
Vardas125                Pavarde125               3         9         1         2         7         4         
Vardas126                Pavarde126               10        8         8         6         9         8         
Vardas127                Pavarde127               9         8         5         5         7         5         
Vardas128                Pavarde128               10        6         5         8         7         6         
Vardas129                Pavarde129               5         6         2         3         9         9         
Vardas130                Pavarde130               10        10        5         6         2         3         
Vardas131                Pavarde131               8         5         1         3         3         7         
Vardas132                Pavarde132               6         3         8         5         4         5         
Vardas133                Pavarde133               1         9         4         1         3         4         
Vardas134                Pavarde134               5         8         4         1         8         7         
Vardas135                Pavarde135               4         4         3         1         10        10        
Vardas136                Pavarde136               9         3         7         7         6         6         
Vardas137                Pavarde137               7         6         10        9         6         6         
Vardas138                Pavarde138               8         5         7         1         5         10        
Vardas139                Pavarde139               5         2         6         8         2         5         
Vardas140                Pavarde140               10        8         4         1         10        4         
Vardas141                Pavarde141               5         1         4         1         8         9         
Vardas142                Pavarde142               10        5         9         3         9         1         
Vardas143                Pavarde143               2         4         2         1         10        9         
Vardas144                Pavarde144               4         7         4         5         6         3         
Vardas145                Pavarde145               5         2         9         3         4         8         
Vardas146                Pavarde146               5         4         2         5         5         7         
Vardas147                Pavarde147               9         5         9         4         6         3         
Vardas148                Pavarde148               8         1         3         8         3         7         
Vardas149                Pavarde149               6         6         5         3         10        2         
Vardas150                Pavarde150               9         4         7         5         9         6         
Vardas151                Pavarde151               2         1         3         4         9         1         
Vardas152                Pavarde152               8         2         6         5         7         5         
Vardas153                Pavarde153               1         3         1         10        1         4         
Vardas154                Pavarde154               10        10        5         8         4         9         
Vardas155                Pavarde155               10        8         3         10        10        8         
Vardas156                Pavarde156               6         6         3         9         4         9         
Vardas157                Pavarde157               1         4         4         7         3         2         
Vardas158                Pavarde158               6         4         4         1         9         9         
Vardas159                Pavarde159               3         3         2         1         8         6         
Vardas160                Pavarde160               4         4         8         7         3         8         
Vardas161                Pavarde161               2         2         1         1         3         3         
Vardas162                Pavarde162               2         2         5         1         3         8         
Vardas163                Pavarde163               9         7         4         2         6         4         
Vardas164                Pavarde164               10        3         7         1         7         2         
Vardas165                Pavarde165               6         5         5         10        4         4         
Vardas166                Pavarde166               4         6         10        6         2         6         
Vardas167                Pavarde167               5         10        7         3         7         1         
Vardas168                Pavarde168               8         10        3         7         6         4         
Vardas169                Pavarde169               1         1         4         4         10        2         
Vardas170                Pavarde170               4         6         9         5         7         1         
Vardas171                Pavarde171               10        8         6         5         3         9         
Vardas172                Pavarde172               4         7         10        1         7         3         
Vardas173                Pavarde173               2         6         7         4         6         6         
Vardas174                Pavarde174               2         8         1         2         1         10        
Vardas175                Pavarde175               7         4         8         5         1         10        
Vardas176                Pavarde176               4         10        10        1         5         5         
Vardas177                Pavarde177               7         2         7         8         10        4         
Vardas178                Pavarde178               3         9         1         6         5         10        
Vardas179                Pavarde179               8         8         1         3         5         4         
Vardas180                Pavarde180               3         10        3         4         7         6         
Vardas181                Pavarde181               2         3         6         6         8         5         
Vardas182                Pavarde182               4         2         9         10        2         10        
Vardas183                Pavarde183               1         9         9         6         3         3         
Vardas184                Pavarde184               7         8         7         5         4         4         
Vardas185                Pavarde185               1         9         5         6         5         2         
Vardas186                Pavarde186               4         2         2         1         1         4         
Vardas187                Pavarde187               9         6         6         6         6         6         
Vardas188                Pavarde188               8         9         7         8         4         6         
Vardas189                Pavarde189               7         1         9         9         3         5         
Vardas190                Pavarde190               4         4         5         3         3         2         
Vardas191                Pavarde191               6         9         9         5         4         6         
Vardas192                Pavarde192               7         6         6         9         1         2         
Vardas193                Pavarde193               4         6         9         9         4         8         
Vardas194                Pavarde194               3         4         7         8         7         3         
Vardas195                Pavarde195               9         2         8         10        1         7         
Vardas196                Pavarde196               7         10        5         7         10        2         
Vardas197                Pavarde197               3         7         5         8         8         7         
Vardas198                Pavarde198               8         6         2         1         3         5         
Vardas199                Pavarde199               10        3         8         2         2         5         
Vardas200                Pavarde200               6         9         5         1         7         7         
Vardas201                Pavarde201               9         8         10        3         4         3         
Vardas202                Pavarde202               5         9         7         1         5         6         
Vardas203                Pavarde203               10        9         4         3         1         3         
Vardas204                Pavarde204               10        2         1         8         5         10        
Vardas205                Pavarde205               4         10        8         5         3         7         
Vardas206                Pavarde206               9         1         8         4         6         2         
Vardas207                Pavarde207               8         1         10        2         6         5         
Vardas208                Pavarde208               3         7         2         2         4         6         
Vardas209                Pavarde209               6         10        2         2         3         2         
Vardas210                Pavarde210               2         6         10        5         8         1         
Vardas211                Pavarde211               7         6         7         6         8         4         
Vardas212                Pavarde212               9         3         4         4         6         7         
Vardas213                Pavarde213               8         1         4         3         4         10        
Vardas214                Pavarde214               6         2         5         2         5         8         
Vardas215                Pavarde215               10        9         7         5         9         9         
Vardas216                Pavarde216               4         2         6         6         9         6         
Vardas217                Pavarde217               6         5         10        8         9         4         
Vardas218                Pavarde218               2         2         3         6         10        4         
Vardas219                Pavarde219               3         2         9         1         10        8         
Vardas220                Pavarde220               2         6         9         3         8         10        
Vardas221                Pavarde221               1         9         6         7         9         1         
Vardas222                Pavarde222               8         7         8         5         10        6         
Vardas223                Pavarde223               3         3         7         10        7         9         
Vardas224                Pavarde224               10        10        5         7         6         4         
Vardas225                Pavarde225               4         8         4         9         5         4         
Vardas226                Pavarde226               9         5         2         3         9         7         
Vardas227                Pavarde227               7         4         2         10        5         9         
Vardas228                Pavarde228               7         2         4         1         2         9         
Vardas229                Pavarde229               5         1         2         6         4         7         
Vardas230                Pavarde230               1         10        1         3         4         6         
Vardas231                Pavarde231               8         6         6         2         5         7         
Vardas232                Pavarde232               2         1         4         8         5         6         
Vardas233                Pavarde233               6         9         4         9         6         5         
Vardas234                Pavarde234               4         2         9         9         3         2         
Vardas235                Pavarde235               8         1         6         5         8         7         
Vardas236                Pavarde236               4         3         5         5         6         7         
Vardas237                Pavarde237               8         2         10        6         5         5         
Vardas238                Pavarde238               3         6         8         1         4         1         
Vardas239                Pavarde239               6         4         10        6         2         3         
Vardas240                Pavarde240               5         4         7         5         8         1         
Vardas241                Pavarde241               5         2         5         2         2         8         
Vardas242                Pavarde242               6         3         1         10        8         10        
Vardas243                Pavarde243               5         7         8         9         1         3         
Vardas244                Pavarde244               9         5         2         9         8         4         
Vardas245                Pavarde245               1         3         9         4         7         6         
Vardas246                Pavarde246               10        1         3         10        6         7         
Vardas247                Pavarde247               5         1         8         1         4         1         
Vardas248                Pavarde248               1         4         7         6         10        4         
Vardas249                Pavarde249               10        4         3         5         10        2         
Vardas250                Pavarde250               1         3         8         2         9         5         
Vardas251                Pavarde251               6         10        3         3         5         1         
Vardas252                Pavarde252               4         6         5         10        7         9         
Vardas253                Pavarde253               10        8         6         5         3         1         
Vardas254                Pavarde254               4         5         9         5         5         6         
Vardas255                Pavarde255               2         6         7         7         5         4         
Vardas256                Pavarde256               2         7         7         10        6         8         
Vardas257                Pavarde257               9         4         8         5         5         3         
Vardas258                Pavarde258               10        8         2         1         4         5         
Vardas259                Pavarde259               8         6         9         3         1         4         
